;user_id;original_image;face_id;age;gender;x;y;dx;dy;tilt_ang;fiducial_yaw_angle;fiducial_score
0;30601258@N03;10399646885_67c7d20df9_o.jpg;1;(25, 32);f;0;414;1086;1383;-115;30;17
1;30601258@N03;10424815813_e94629b1ec_o.jpg;2;(25, 32);m;301;105;640;641;0;0;94
2;30601258@N03;10437979845_5985be4b26_o.jpg;1;(25, 32);f;2395;876;771;771;175;-30;74
3;30601258@N03;10437979845_5985be4b26_o.jpg;3;(25, 32);m;752;1255;484;485;180;0;47
4;30601258@N03;11816644924_075c3d8d59_o.jpg;2;(25, 32);m;175;80;769;768;-75;0;34
5;30601258@N03;11562582716_dbc2eb8002_o.jpg;1;(25, 32);f;0;422;1332;1498;-100;15;54
7;30601258@N03;9506931745_796300ca4a_o.jpg;5;(25, 32);f;1069;581;1575;1575;0;30;131
8;30601258@N03;10190308156_5c748ab2da_o.jpg;5;(25, 32);f;474;1893;485;484;-115;30;55
9;30601258@N03;10190308156_5c748ab2da_o.jpg;2;(25, 32);m;1013;1039;453;452;-75;0;59
10;30601258@N03;11624488765_9db0b93c94_o.jpg;2;(25, 32);m;101;56;740;740;-90;0;75
11;30601258@N03;10204739113_0e2ae11708_o.jpg;6;(25, 32);m;336;640;841;842;-85;0;94
12;30601258@N03;10204739113_0e2ae11708_o.jpg;1;(25, 32);f;693;247;720;720;-85;30;132
13;30601258@N03;11518638385_cac7193c86_o.jpg;2;(25, 32);m;87;20;728;728;-95;0;79
14;30601258@N03;11341941104_2bcd4b99e0_o.jpg;1;(25, 32);f;1039;1432;624;625;185;30;120
15;30601258@N03;11431644464_5510e0b7e9_o.jpg;2;(25, 32);m;223;58;780;781;-85;0;40
16;30601258@N03;11562657036_5fe2235bed_o.jpg;5;(25, 32);f;518;234;444;444;-15;0;78
17;30601258@N03;11438175534_c13ee0375c_o.jpg;2;(25, 32);m;890;229;746;746;-105;30;132
18;30601258@N03;11438175534_c13ee0375c_o.jpg;1;(25, 32);f;996;1222;733;733;-85;0;109
19;30601258@N03;10571000386_90e4070c7c_o.jpg;2;(25, 32);m;596;156;684;688;-5;0;28
21;30601258@N03;10438007716_1fc791bce6_o.jpg;1;(25, 32);f;353;253;829;829;-70;15;91
22;30601258@N03;9731074481_5821415708_o.jpg;2;(25, 32);m;218;191;736;736;-90;0;29
23;30601258@N03;11097047226_42eb0e0a1f_o.jpg;2;(25, 32);m;19;126;712;712;-105;15;52
24;30601258@N03;11167478633_afa18032b6_o.jpg;2;(25, 32);m;615;411;1083;1083;5;0;28
25;30601258@N03;10438008125_7d673b3b16_o.jpg;2;(25, 32);m;0;0;886;909;-90;0;100
26;30601258@N03;9350503632_d1c0024287_o.jpg;7;(25, 32);f;1713;1196;472;472;5;0;33
27;30601258@N03;10491533864_593b5074e9_o.jpg;2;(25, 32);m;196;144;777;776;-85;15;116
28;30601258@N03;11518770375_202acaf0c0_o.jpg;2;(25, 32);m;1179;615;790;790;5;0;73
29;30601258@N03;11438095874_f6108a82ed_o.jpg;2;(25, 32);m;1139;996;810;809;-95;30;14
30;30601258@N03;9545512875_ba6fcccea3_o.jpg;5;(25, 32);f;447;486;657;656;-95;0;87
31;30601258@N03;10518091043_fc3166a2d7_o.jpg;2;(25, 32);m;886;1365;580;580;-85;0;67
32;30601258@N03;9548295372_f42bf75bdd_o.jpg;2;(25, 32);m;1201;443;956;956;-15;45;77
33;30601258@N03;10453790724_62de3504be_o.jpg;2;(25, 32);m;558;179;656;656;200;0;87
34;30601258@N03;11727849366_1283a01132_o.jpg;3;(25, 32);m;2091;1112;841;841;175;0;49
35;30601258@N03;11727849366_1283a01132_o.jpg;2;(25, 32);m;465;1273;618;618;180;0;94
36;30601258@N03;9254706027_30fb69d508_o.jpg;3;(25, 32);m;696;559;867;867;-100;0;148
37;30601258@N03;10491530954_b9fbcc1630_o.jpg;2;(25, 32);m;226;137;772;772;-90;15;87
38;30601258@N03;10204495076_6635702017_o.jpg;2;(25, 32);m;159;38;928;922;-90;0;82
39;30601258@N03;11645266316_5c14b52e4f_o.jpg;2;(25, 32);m;115;4;660;660;-70;30;5
